Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Agincourt North,43.8092994689717,-79.2670669555129,SVP Sports Outlet,43.81017619950153,-79.2696127836144,Sporting Goods Shop
Agincourt North,43.8092994689717,-79.2670669555129,LCBO,43.808125688695895,-79.27004592050454,Liquor Store
Agincourt North,43.8092994689717,-79.2670669555129,Baskin Robbins,43.80933662736696,-79.26336804150782,Ice Cream Shop
Agincourt North,43.8092994689717,-79.2670669555129,Kin Kin Bubble Tea Co,43.807851553703514,-79.27029551638599,Chinese Restaurant
Agincourt North,43.8092994689717,-79.2670669555129,Iroquois Park,43.80366643665737,-79.26798888527924,Park
Agincourt North,43.8092994689717,-79.2670669555129,McDonald's,43.808331321150796,-79.26744273262352,Fast Food Restaurant
Agincourt North,43.8092994689717,-79.2670669555129,"Regus - Ontario, Toronto - Davisville Centre",43.8096631,-79.2569952,Business Service
Agincourt North,43.8092994689717,-79.2670669555129,Finch Hydro Corridor,43.81799362364629,-79.2678165435791,Trail
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Yummy Cantonese Restaurant 老西関腸粉,43.787567846730724,-79.26958536632105,Cantonese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Wonton Chai Noodle 雲吞仔,43.78772222037297,-79.26955187711835,Noodle House
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Congee Me 小米粥鋪,43.787391662597656,-79.26838684082031,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,One2 Snacks,43.787047925304336,-79.27665787813419,Asian Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Gourmet Malaysia 膳園,43.7881184598393,-79.26667771236072,Malay Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Asian Legend 味香村,43.78806782493317,-79.26676821861626,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,The Roti Hut,43.78727725968595,-79.25872401779647,Caribbean Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,In Cheon House Korean & Japanese Restaurant 인천관,43.78646767038441,-79.27569314969834,Korean Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Jesse Jr. (Filipino Foods & Restaurant),43.78756491773208,-79.26880977111882,Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Tim Hortons,43.78563681034057,-79.27921459078789,Coffee Shop
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,The Captain's Boil,43.788100937060236,-79.26508523996,Seafood Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Panagio's Breakfast & Lunch,43.79237001092506,-79.26020325805978,Breakfast Spot
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Maple Yip Seafood 陸羽海鮮酒家,43.784752458500414,-79.27778743488068,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,TD Canada Trust,43.78848031250697,-79.26940843462944,Bank
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Perfect Chinese Restaurant 雅瓊海鮮酒家,43.78777423062292,-79.27029393705004,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Agincourt Recreation Centre,43.791396338935705,-79.2720753942384,Pool
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Beef Noodle Restaurant 老李牛肉麵,43.785937477135555,-79.27603076031062,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Dumpling House 餃子莊,43.787208821092754,-79.26990941663193,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Le Spot,43.78816172704444,-79.26415672672607,Pool Hall
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Shanghai Dim Sum,43.78703615843197,-79.26938030256589,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Congee King,43.78590778606772,-79.27604151758148,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Borsalino,43.7881209225317,-79.26504908695252,Mediterranean Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Fisherman Villa 褔臨門,43.78710781967966,-79.27593050538756,Hong Kong Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Dragon Centre,43.79140985567744,-79.27208143544222,Shopping Mall
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,The Only Cuisine 西域久保,43.78674606895496,-79.27085430184714,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Global Imperial Cuisine 國寶軒,43.786719157990575,-79.2743816188499,Cantonese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Grand Ocean Restaurant,43.78693261153702,-79.27423007314356,Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Agincourt Park,43.79138276764456,-79.27209167655958,Park
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Orient Express,43.785513,-79.275966,Chinese Restaurant
Agincourt South-Malvern West,43.787349700971696,-79.26940917961291,Avis Car Rental,43.785901,-79.277092,Rental Car Location
Alderwood,43.604961395271395,-79.541160583413,Il Paesano Pizzeria & Restaurant,43.60128,-79.545028,Pizza Place
Alderwood,43.604961395271395,-79.541160583413,Farm Boy,43.61001249260805,-79.54758144706244,Grocery Store
Alderwood,43.604961395271395,-79.541160583413,Dollarama,43.60951042872165,-79.5476856289529,Discount Store
Alderwood,43.604961395271395,-79.541160583413,Toronto Gymnastics International,43.59983195234328,-79.54292448822379,Gym
Alderwood,43.604961395271395,-79.541160583413,Timothy's Pub,43.60016508568706,-79.54469872722389,Pub
Alderwood,43.604961395271395,-79.541160583413,Morocco House,43.609938,-79.54902,Moroccan Restaurant
Alderwood,43.604961395271395,-79.541160583413,Pizza Pizza,43.60534035117562,-79.54725175609202,Pizza Place
Alderwood,43.604961395271395,-79.541160583413,Tim Hortons,43.60239631505536,-79.5450476557017,Coffee Shop
Alderwood,43.604961395271395,-79.541160583413,Petro-Canada,43.610323,-79.549414,Gas Station
Alderwood,43.604961395271395,-79.541160583413,Franklin Horner Community Centre,43.60370722144246,-79.53813754757284,Athletics & Sports
Alderwood,43.604961395271395,-79.541160583413,Esso,43.612281743555435,-79.54193963327889,Gas Station
Alderwood,43.604961395271395,-79.541160583413,Subway,43.59915224732402,-79.54439458247475,Sandwich Place
Alderwood,43.604961395271395,-79.541160583413,Delta Variety,43.603897,-79.536385,Convenience Store
Alderwood,43.604961395271395,-79.541160583413,Sandown Japanese Market West,43.60704780076533,-79.54614334647418,Market
Alderwood,43.604961395271395,-79.541160583413,Rexall,43.601951,-79.545694,Pharmacy
Alderwood,43.604961395271395,-79.541160583413,Sir Adam Beck Rink,43.602526494798546,-79.5474551115246,Skating Rink
Alderwood,43.604961395271395,-79.541160583413,Alderwood Pool,43.60180197683229,-79.54724725574704,Pool
Alderwood,43.604961395271395,-79.541160583413,OUTFRONT Media Canada,43.604356876347225,-79.53270627165438,Print Shop
Alderwood,43.604961395271395,-79.541160583413,Belgium Variety & Grocery,43.612378166333826,-79.54186214074792,Convenience Store
Alderwood,43.604961395271395,-79.541160583413,AA Floors & More,43.612508,-79.541168,Construction & Landscaping
Alderwood,43.604961395271395,-79.541160583413,Stay Inn,43.612271143754995,-79.54456686973572,Hotel
Alderwood,43.604961395271395,-79.541160583413,Pioneer Energy,43.597355,-79.543241,Gas Station
Alderwood,43.604961395271395,-79.541160583413,Sav-On Drug Mart,43.60989067411187,-79.54961756159075,Pharmacy
Alderwood,43.604961395271395,-79.541160583413,Connorvale Park,43.60720054588603,-79.53070170152236,Park
Alderwood,43.604961395271395,-79.541160583413,Evans and Brown's Line,43.60949161578132,-79.55052314089633,Intersection
Alderwood,43.604961395271395,-79.541160583413,StorageMart,43.61336805,-79.5427802,Storage Facility
Alderwood,43.604961395271395,-79.541160583413,Etobicoke Valley Park,43.60193408779726,-79.55229115067102,Park
Annex,43.6693611145715,-79.402801513613,Fresh on Bloor,43.66675488472059,-79.40349130034014,Vegetarian / Vegan Restaurant
Annex,43.6693611145715,-79.402801513613,The Madison Avenue Pub,43.667946944171426,-79.40348638003233,Pub
Annex,43.6693611145715,-79.402801513613,Kimpton St. George,43.667367535338556,-79.40062654120706,Hotel
Annex,43.6693611145715,-79.402801513613,Gyubee,43.66708824997601,-79.4005710246546,Japanese Restaurant
Annex,43.6693611145715,-79.402801513613,Koerner Hall,43.667983280307865,-79.3959619437764,Concert Hall
Annex,43.6693611145715,-79.402801513613,Real Thailand Restaurant,43.66655676709821,-79.40465745192407,Thai Restaurant
Annex,43.6693611145715,-79.402801513613,Royal Conservatory of Music,43.66822758218325,-79.39631143267306,Music School
Annex,43.6693611145715,-79.402801513613,Cobs Bread,43.66622171718618,-79.40606647691668,Bakery
Annex,43.6693611145715,-79.402801513613,Fuwa Fuwa Japanese Pancakes,43.66587984725407,-79.40783968911445,Pastry Shop
Annex,43.6693611145715,-79.402801513613,BMV Books,43.66586,-79.406824,Bookstore
Annex,43.6693611145715,-79.402801513613,Miles Nadal Jewish Community Centre,43.66651909762614,-79.40387376211667,Gym
Annex,43.6693611145715,-79.402801513613,The Original Gyro Grill,43.66662059602154,-79.40554379665828,Greek Restaurant
Annex,43.6693611145715,-79.402801513613,Royal Ontario Museum,43.668367065616046,-79.3948129405877,Museum
Annex,43.6693611145715,-79.402801513613,ROM Museum Store,43.66851433563614,-79.39487921364,Gift Shop
Annex,43.6693611145715,-79.402801513613,Philosopher's Walk,43.666893747498605,-79.39559698104858,Park
Annex,43.6693611145715,-79.402801513613,Famoso Neapolitan Pizzeria,43.66619627664693,-79.40656418036734,Pizza Place
Annex,43.6693611145715,-79.402801513613,Bulk Barn,43.66570828665725,-79.40832293053349,Grocery Store
Annex,43.6693611145715,-79.402801513613,L'Espresso Bar Mercurio,43.667607786430985,-79.39920107639665,Café
Annex,43.6693611145715,-79.402801513613,Yasu,43.66283719650635,-79.40321739973975,Japanese Restaurant
Annex,43.6693611145715,-79.402801513613,Rasa,43.662756751275445,-79.40398803188654,Restaurant
Annex,43.6693611145715,-79.402801513613,Whole Foods Market,43.672005429317515,-79.3948317514291,Grocery Store
Annex,43.6693611145715,-79.402801513613,Hot Docs Ted Rogers Cinema,43.665499199156656,-79.4103125084796,Indie Movie Theater
Annex,43.6693611145715,-79.402801513613,Roti Cuisine of India,43.67461834990478,-79.40824866273744,Indian Restaurant
Annex,43.6693611145715,-79.402801513613,Tiffany & Co.,43.6691352,-79.3934841,Jewelry Store
Annex,43.6693611145715,-79.402801513613,Ezra's Pound,43.67515283323029,-79.40585846415303,Café
Annex,43.6693611145715,-79.402801513613,L'Unita Restaurant,43.674387404879205,-79.39648826123504,Italian Restaurant
Annex,43.6693611145715,-79.402801513613,Eva's Original Chimneys,43.665608421839806,-79.4090342859261,Ice Cream Shop
Annex,43.6693611145715,-79.402801513613,DAVIDsTEA,43.66579011022749,-79.40826968594604,Tea Room
Annex,43.6693611145715,-79.402801513613,Crafty Coyote,43.66559307383268,-79.40862274504491,Beer Bar
Annex,43.6693611145715,-79.402801513613,Her Father's Cider Bar + Kitchen,43.66244824890102,-79.40470324675829,Beer Bar
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Starbucks Reserve Bar,43.735764352650975,-79.34415591212019,Coffee Shop
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Congee Queen 皇后名粥,43.735977372912316,-79.34735561803191,Cantonese Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Baretto Caffé,43.74445646349851,-79.34645978471785,Café
Banbury-Don Mills,43.740409851071604,-79.34851837151301,CF Shops at Don Mills,43.73501112909844,-79.34478724407985,Shopping Mall
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Cineplex VIP Cinemas Don Mills,43.73427877090645,-79.34616425228229,Movie Theater
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Aroma Espresso Bar,43.73439968185306,-79.3452038090861,Café
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Island Foods,43.745866073988985,-79.34603533317939,Caribbean Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Chipotle Mexican Grill,43.73521,-79.34396,Mexican Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Paramount Fine Foods,43.73654713885171,-79.34347318005996,Middle Eastern Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,JOEY Don Mills,43.733990328997315,-79.34473422057377,Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Lindt & Sprüngli,43.7348401,-79.3452689,Chocolate Shop
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Ice 'n Cake,43.734292228891334,-79.34519795645626,Ice Cream Shop
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Panera Bread,43.7348289,-79.3438876,Bakery
Banbury-Don Mills,43.740409851071604,-79.34851837151301,LA Fitness,43.74766522888878,-79.34707696065234,Gym / Fitness Center
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Matsuda Japanese Cuisine & Teppanyaki,43.74549366550305,-79.34582141079446,Japanese Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Anthropologie,43.73399577300591,-79.34556371609538,Women's Store
Banbury-Don Mills,43.740409851071604,-79.34851837151301,McEwan,43.73625640025338,-79.34513152081716,Gourmet Shop
Banbury-Don Mills,43.740409851071604,-79.34851837151301,South St. Burger,43.734274151590064,-79.34365473960722,Burger Joint
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Bier Markt,43.73369851588495,-79.3446775447473,Bar
Banbury-Don Mills,43.740409851071604,-79.34851837151301,TD Canada Trust,43.7334122,-79.3456392,Bank
Banbury-Don Mills,43.740409851071604,-79.34851837151301,LCBO,43.73632288176399,-79.34611450909887,Liquor Store
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Taylors Landing,43.733985520359404,-79.34548008859929,American Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Shoppers Drug Mart,43.737261,-79.345868,Pharmacy
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Beauty Boutique by Shoppers Drug Mart,43.737261,-79.345868,Cosmetics Shop
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Metro,43.734049322838985,-79.3431359526013,Supermarket
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Jack Astor's Bar & Grill,43.734594205541455,-79.34379672236949,Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Gonoe Sushi,43.74573681959921,-79.34599119916211,Japanese Restaurant
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Pizza Pizza,43.734579030985564,-79.34629045702412,Pizza Place
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Subway,43.73569031774401,-79.34755303214536,Sandwich Place
Banbury-Don Mills,43.740409851071604,-79.34851837151301,Tim Hortons,43.73514964802937,-79.35564748942846,Coffee Shop
Bathurst Manor,43.763778686571705,-79.454772949213,Subway,43.759754803161854,-79.46547677360826,Sandwich Place
Bathurst Manor,43.763778686571705,-79.454772949213,Sunset Grill,43.759587,-79.465118,Breakfast Spot
Bathurst Manor,43.763778686571705,-79.454772949213,Wilmington Convenience And Produce,43.76492492612054,-79.45508605844655,Convenience Store
Bathurst Manor,43.763778686571705,-79.454772949213,Chapley Baseball Park,43.76209961275248,-79.45586621215949,Baseball Field
Bathurst Manor,43.763778686571705,-79.454772949213,Wilmington Park,43.761533640535525,-79.45609146657658,Playground
Bathurst Manor,43.763778686571705,-79.454772949213,Irving W. Chapley Community Centre  & Park,43.76124725508391,-79.45550910036651,Park
Bathurst Manor,43.763778686571705,-79.454772949213,The Brick,43.76016968619106,-79.46580014972255,Furniture / Home Store
Bathurst Manor,43.763778686571705,-79.454772949213,Prestige nite club,43.76640051463253,-79.46653497333114,Nightclub
Bay Street Corridor,43.6577110290715,-79.38617706291299,Jimmy's Coffee,43.65842123574496,-79.38561319551111,Coffee Shop
Bay Street Corridor,43.6577110290715,-79.38617706291299,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
Bay Street Corridor,43.6577110290715,-79.38617706291299,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
Bay Street Corridor,43.6577110290715,-79.38617706291299,Red Lobster,43.656328,-79.383621,Seafood Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Tim Hortons,43.658569999999976,-79.38512341104502,Coffee Shop
Bay Street Corridor,43.6577110290715,-79.38617706291299,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
Bay Street Corridor,43.6577110290715,-79.38617706291299,College Park Area,43.65975136823981,-79.38491112965691,Park
Bay Street Corridor,43.6577110290715,-79.38617706291299,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
Bay Street Corridor,43.6577110290715,-79.38617706291299,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
Bay Street Corridor,43.6577110290715,-79.38617706291299,MUJI,43.656024,-79.383284,Miscellaneous Shop
Bay Street Corridor,43.6577110290715,-79.38617706291299,Tsujiri,43.65537430780922,-79.38535434742991,Tea Room
Bay Street Corridor,43.6577110290715,-79.38617706291299,Bubble Republic Tea House 奶茶黨部,43.656707495984975,-79.38416470657434,Bubble Tea Shop
Bay Street Corridor,43.6577110290715,-79.38617706291299,Downtown Toronto,43.65323167517444,-79.38529600606677,Neighborhood
Bay Street Corridor,43.6577110290715,-79.38617706291299,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
Bay Street Corridor,43.6577110290715,-79.38617706291299,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,KAKA,43.65745745164475,-79.38419169987876,Japanese Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Sansotei Ramen 三草亭,43.655157467561246,-79.38650067479335,Ramen Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Barberian's Steak House,43.65775512925926,-79.38217741375935,Steakhouse
Bay Street Corridor,43.6577110290715,-79.38617706291299,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,DAVIDsTEA,43.65658619027106,-79.38116704725516,Tea Room
Bay Street Corridor,43.6577110290715,-79.38617706291299,Duke's Refresher + Bar,43.65897985683036,-79.38294890507811,Bar
Bay Street Corridor,43.6577110290715,-79.38617706291299,JOEY Eaton Centre,43.65540379999999,-79.38192889999999,Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Yueh Tung Chinese Restaurant,43.655281263429195,-79.3853365267765,Chinese Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
Bay Street Corridor,43.6577110290715,-79.38617706291299,Rolltation,43.65491791857301,-79.3874242454196,Japanese Restaurant
Bay Street Corridor,43.6577110290715,-79.38617706291299,Blaze Pizza,43.656518,-79.380015,Pizza Place
Bayview Village,43.7770996093717,-79.379570007313,LCBO,43.76972069599742,-79.38461646962298,Liquor Store
Bayview Village,43.7770996093717,-79.379570007313,Taro's Fish,43.76996164341515,-79.37465906198047,Fish Market
Bayview Village,43.7770996093717,-79.379570007313,Mountain Equipment Co-op,43.76987684570399,-79.37511694519891,Outdoor Supply Store
Bayview Village,43.7770996093717,-79.379570007313,MEC,43.76989364818691,-79.37516454175586,Sporting Goods Shop
Bayview Village,43.7770996093717,-79.379570007313,Sunshine Spot,43.770162103240736,-79.37477798821956,Breakfast Spot
Bayview Village,43.7770996093717,-79.379570007313,Shatter Abbas,43.769997628351945,-79.37443439177133,Persian Restaurant
Bayview Village,43.7770996093717,-79.379570007313,Gap,43.769131815140064,-79.38417403386923,Clothing Store
Bayview Village,43.7770996093717,-79.379570007313,Bayview Village Park,43.772466098209264,-79.38878181379292,Park
Bayview Village,43.7770996093717,-79.379570007313,Banana Republic,43.76919557455327,-79.38508595927273,Clothing Store
Bayview Village,43.7770996093717,-79.379570007313,Shell,43.76973986,-79.37631764,Gas Station
Bayview Village,43.7770996093717,-79.379570007313,Flowers & Blossoms Inc.,43.776826613497164,-79.37815189361572,Flower Shop
Bayview Village,43.7770996093717,-79.379570007313,Forest Grove,43.77934077365666,-79.37932635258618,Trail
Bayview Village,43.7770996093717,-79.379570007313,Pizza Pizza,43.76977203092848,-79.37554445505702,Pizza Place
Bayview Village,43.7770996093717,-79.379570007313,Subway,43.77020373486674,-79.37460805830165,Sandwich Place
Bayview Village,43.7770996093717,-79.379570007313,Clarinda Park,43.77450303136812,-79.37069596103365,Park
Bayview Village,43.7770996093717,-79.379570007313,Lettieri,43.76901544989478,-79.38416197611689,Coffee Shop
Bayview Village,43.7770996093717,-79.379570007313,East Don Parklands,43.777570287267196,-79.36944007873535,Park
Bayview Village,43.7770996093717,-79.379570007313,Pet Valu,43.769561847733755,-79.37562452768624,Pet Store
Bayview Village,43.7770996093717,-79.379570007313,Granite Club,43.77344424806154,-79.38963400232934,Golf Course
Bayview Village,43.7770996093717,-79.379570007313,Alamosa Park,43.7812845587767,-79.3698557087135,Park
Bayview Village,43.7770996093717,-79.379570007313,Bessarion Subway Station,43.769261840475664,-79.37613043750773,Metro Station
Bayview Village,43.7770996093717,-79.379570007313,Talbots,43.76937514629872,-79.3851695468515,Women's Store
Bayview Village,43.7770996093717,-79.379570007313,The Body Shop,43.769359,-79.385302,Cosmetics Shop
Bayview Village,43.7770996093717,-79.379570007313,Dana Jordan,43.769134338697135,-79.38480116467443,Gift Shop
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Sun Star Chinese Cuisine 翠景小炒,43.78791448422642,-79.38123404311649,Chinese Restaurant
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Kori Sushi,43.79161297568961,-79.39226749018948,Japanese Restaurant
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Harvey's,43.79234024124624,-79.39301004225672,Fast Food Restaurant
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,TD Canada Trust,43.7913867,-79.3920816,Bank
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,TD Canada Trust,43.7880740139986,-79.38036672770977,Bank
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,valu-mart On Bayview,43.790843,-79.392045,Grocery Store
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Petro-Canada,43.792377,-79.39354,Gas Station
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Maxim's Cafe and Patisserie,43.78786337669778,-79.38075094208715,Café
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Don Valley Parklands,43.79248953869106,-79.38034747310336,Park
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Kaga Sushi,43.78775840092113,-79.38108976991016,Japanese Restaurant
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,The Bayview Mall,43.79157835945457,-79.3927166782297,Shopping Mall
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Bestview Park,43.80297511376998,-79.38452075337774,Park
Bayview Woods-Steeles,43.794849395771706,-79.382202148413,Steve Morel Music,43.80264543,-79.37721495,Music Store
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Aroma Espresso Bar,43.73597504480755,-79.42039080887425,Café
Bedford Park-Nortown,43.730659484871595,-79.424499511713,The Bagel House,43.7283374321573,-79.4180892175865,Bagel Shop
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Tutto Pronto,43.72823508097344,-79.41808634471838,Italian Restaurant
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Starbucks,43.728673,-79.418513,Coffee Shop
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Darbar Persian Grill,43.735484,-79.420006,Restaurant
Bedford Park-Nortown,43.730659484871595,-79.424499511713,The Copper Chimney,43.73619518432498,-79.42027081330127,Indian Restaurant
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Bistro on Avenue,43.727074384184064,-79.41756944393234,Wings Joint
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Starbucks,43.732604,-79.419136,Coffee Shop
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Gryfe's Bagel Bakery,43.72706236914395,-79.43158677774109,Bagel Shop
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Sakura Garden,43.73339792581388,-79.41949129828605,Sushi Restaurant
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Ritché Bridal,43.72663321169346,-79.41746524575422,Bridal Shop
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Drums N Flats,43.73503512478632,-79.42003978035157,Comfort Food Restaurant
Bedford Park-Nortown,43.730659484871595,-79.424499511713,Tim Hortons,43.735355956224325,-79.41960454261636,Coffee Shop
